signal_group,hs_code,stat_date,period_type,version_flag,export_value,value_currency,export_qty,qty_unit,export_weight,weight_unit,source,fetch_ts,raw_file,code_status,code_pool_version
SSD,85235,2024-01-01,monthly,unknown,1254068309,KRW,,,215348.62,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_85235_202401.json,active,2026-01
SSD,852351,2024-01-01,monthly,unknown,501798372,KRW,,,157522.18,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_2024_2024_export_20260516_034954.json,active,2026-01
SSD,852351,2024-01-01,monthly,unknown,501798372,KRW,,,157522.18,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_852351_202401.json,active,2026-01
SSD,852351,2024-02-01,monthly,unknown,447193036,KRW,,,137300.98,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_2024_2024_export_20260516_034954.json,active,2026-01
SSD,852351,2024-02-01,monthly,unknown,447193036,KRW,,,137300.98,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_852351_202402.json,active,2026-01
SSD,852351,2024-03-01,monthly,unknown,694805231,KRW,,,185944.4,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_852351_202403.json,active,2026-01
SSD,852351,2024-04-01,monthly,unknown,597886050,KRW,,,161798.8,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_852351_202404.json,active,2026-01
SSD,852351,2024-05-01,monthly,unknown,848226860,KRW,,,192148.13,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_852351_202405.json,active,2026-01
SSD,852351,2024-06-01,monthly,unknown,963185272,KRW,,,189866.1,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_852351_202406.json,active,2026-01
SSD,852351,2024-07-01,monthly,unknown,969262346,KRW,,,158555.04,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_852351_202407.json,active,2026-01
SSD,852351,2024-08-01,monthly,unknown,1247568689,KRW,,,189238.69,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_852351_202408.json,active,2026-01
SSD,852351,2024-09-01,monthly,unknown,1243449676,KRW,,,201905.17,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_852351_202409.json,active,2026-01
SSD,852351,2024-10-01,monthly,unknown,710586199,KRW,,,139713.12,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_852351_202410.json,active,2026-01
SSD,852351,2024-11-01,monthly,unknown,1148394262,KRW,,,189404.2,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_852351_202411.json,active,2026-01
SSD,852351,2024-12-01,monthly,unknown,1254068309,KRW,,,215348.62,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_852351_202412.json,active,2026-01
SSD,8542321030,2024-02-01,monthly,unknown,889118556,KRW,,,56073.86,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_8542321030_202402.json,active,2026-01
SSD,8542321030,2024-03-01,monthly,unknown,816995296,KRW,,,54995.86,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_8542321030_202403.json,active,2026-01
SSD,8542321030,2024-04-01,monthly,unknown,615382745,KRW,,,42591.92,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_8542321030_202404.json,active,2026-01
SSD,8542321030,2024-05-01,monthly,unknown,685634245,KRW,,,41898.17,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_8542321030_202405.json,active,2026-01
SSD,8542321030,2024-06-01,monthly,unknown,677867380,KRW,,,45475.12,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_8542321030_202406.json,active,2026-01
SSD,8542321030,2024-07-01,monthly,unknown,536146405,KRW,,,38350.14,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_8542321030_202407.json,active,2026-01
SSD,8542321030,2024-08-01,monthly,unknown,388012152,KRW,,,30318.92,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_8542321030_202408.json,active,2026-01
SSD,8542321030,2024-09-01,monthly,unknown,626839396,KRW,,,40644.66,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_8542321030_202409.json,active,2026-01
SSD,8542321030,2024-10-01,monthly,unknown,440424775,KRW,,,32598.6,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_8542321030_202410.json,active,2026-01
SSD,8542321030,2024-11-01,monthly,unknown,478932127,KRW,,,45868.46,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_8542321030_202411.json,active,2026-01
SSD,8542321030,2024-12-01,monthly,unknown,612998107,KRW,,,42186.07,kg,TRASS,2026-05-16 04:08:47.807696,trass_raw_8542321030_202412.json,active,2026-01
