market,stat_date,is_trading_day,notes
KOSPI,2024-01-01,no,New Year holiday
KOSPI,2024-01-02,no,Lunar New Year eve
KOSPI,2024-01-03,no,Lunar New Year holiday
KOSPI,2024-01-04,yes,
KOSPI,2024-01-05,yes,
KOSPI,2024-01-08,yes,
KOSPI,2024-01-09,yes,
KOSPI,2024-01-10,yes,
KOSPI,2024-01-11,yes,
KOSPI,2024-01-12,yes,
KOSPI,2024-01-15,yes,
KOSPI,2024-01-16,yes,
KOSPI,2024-01-17,yes,
KOSPI,2024-01-18,yes,
KOSPI,2024-01-19,yes,
KOSPI,2024-01-22,no,KOSPI Memorial Day
KOSPI,2024-01-23,yes,
KOSPI,2024-01-24,yes,
KOSPI,2024-01-25,yes,
KOSPI,2024-01-26,yes,
KOSPI,2024-01-29,yes,
KOSPI,2024-01-30,yes,
KOSPI,2024-01-31,yes,
